#   q     Cout       Nout      Cside       Nside       Clong        Nlong
  1.250 -0.055702499  2.000000000 -0.098642789  4.000000000  0.311785637  6.000000000
  3.750  0.193954603  6.000000000  0.461370931  3.000000000  0.186188769  4.000000000
  6.250  0.281991545  4.000000000  0.150298833  2.000000000  0.136699239  3.000000000
  8.750  0.150559205  2.000000000  0.276514956  4.000000000  0.112837241  3.000000000
 11.250  0.567183370  3.000000000  0.360629836  2.000000000 -0.196451486  1.000000000
 13.750  0.211936684  3.000000000  0.080949225  1.000000000  0.656758004  4.000000000
 16.250 -0.173133595  3.000000000  0.021207598  4.000000000  0.193902459  5.000000000
 18.750  0.133429501  5.000000000 -0.140936036  4.000000000 -0.220913451  3.000000000
 21.250 -0.443140859  3.000000000 -0.229947737  1.000000000  0.260597530  4.000000000
 23.750 -0.653312872  3.000000000 -0.033513385  3.000000000  0.000848060  2.000000000
 26.250  0.688323771  4.000000000 -0.492468036  4.000000000 -0.193935213  2.000000000
 28.750  0.782955579  1.000000000  0.094697248  2.000000000  0.477892093  1.000000000
 31.250  0.788485988  1.000000000 -0.184372562  4.000000000  0.000000000  1.000000000
 33.750 -0.240405562  3.000000000  0.159750606  6.000000000  0.000000000  1.000000000
 36.250  0.767779006  2.000000000  0.114787476  4.000000000  0.115431971  2.000000000
 38.750 -0.483090033  3.000000000  0.459617329  4.000000000 -0.855675535  1.000000000
 41.250 -0.473056130  2.000000000 -0.172878565  4.000000000  0.178483980  3.000000000
 43.750 -0.338568858  1.000000000 -0.160687395  2.000000000 -0.262236266  3.000000000
 46.250  0.008742573  3.000000000  0.399656567  2.000000000  0.660677283  1.000000000
 48.750          nan  0.000000000  0.075486973  2.000000000 -0.228213758  3.000000000
 51.250 -0.164173140  2.000000000 -0.421201966  1.000000000 -0.179810273  4.000000000
 53.750 -0.030238155  4.000000000 -0.428175087  2.000000000 -0.266925556  3.000000000
 56.250 -0.181653459  2.000000000 -0.171984442  3.000000000 -0.452537090  4.000000000
 58.750  0.358316467  2.000000000 -0.058064987  2.000000000 -0.410372248  5.000000000
 61.250          nan  0.000000000  0.131130505  6.000000000 -0.084805483  4.000000000
 63.750          nan  0.000000000  0.036605116  3.000000000  0.093306081  4.000000000
 66.250  0.000000000  1.000000000 -0.105638392  5.000000000 -0.012534987  3.000000000
 68.750 -0.011719129  2.000000000 -0.210629210  4.000000000          nan  0.000000000
 71.250  0.098606372  6.000000000 -0.283744563  6.000000000  0.105133655  3.000000000
 73.750 -0.278536155  2.000000000  0.177517362  1.000000000  0.285632064  1.000000000
 76.250 -0.462488052  2.000000000  0.028931819  6.000000000 -0.208863734  3.000000000
 78.750  0.069213154  1.000000000 -0.253137744  3.000000000          nan  0.000000000
 81.250 -0.512116225  2.000000000  0.055919511  4.000000000          nan  0.000000000
 83.750  0.183938845  2.000000000  0.275467122  2.000000000 -0.671011895  1.000000000
 86.250 -0.095741544  2.000000000  0.000000000  2.000000000  0.906698452  1.000000000
 88.750  0.252736595  1.000000000  0.320977493  3.000000000 -0.244255923  1.000000000
 91.250 -0.624375101  3.000000000  0.619904197  3.000000000 -0.304621742  2.000000000
 93.750  0.268680914  2.000000000 -0.988339974  1.000000000  0.135166253  4.000000000
 96.250          nan  0.000000000 -0.000133540  1.000000000 -0.377947133  4.000000000
 98.750          nan  0.000000000 -0.452827711  2.000000000 -0.325562912  2.000000000
101.250  0.875099018  1.000000000 -0.161704095  6.000000000 -0.976855067  1.000000000
103.750          nan  0.000000000  0.019041113  2.000000000  0.632700778  1.000000000
106.250          nan  0.000000000 -0.442934795  2.000000000 -0.075481883  1.000000000
108.750  0.000000000  2.000000000  0.110887915  3.000000000 -0.029022244  4.000000000
111.250  0.000000000  1.000000000 -0.060949036  3.000000000          nan  0.000000000
113.750          nan  0.000000000 -0.319778866  3.000000000  0.294221380  4.000000000
116.250 -0.947470662  2.000000000  0.250096772  3.000000000 -0.329518182  2.000000000
118.750  0.020581588  1.000000000 -0.192140724  1.000000000  0.010969081  1.000000000
121.250 -0.209804676  2.000000000 -0.370108812  7.000000000  0.430959895  1.000000000
123.750 -0.041792971  3.000000000  0.000000000  1.000000000          nan  0.000000000
126.250  0.000000000  1.000000000 -0.194036151  3.000000000          nan  0.000000000
128.750          nan  0.000000000 -0.138759824  3.000000000 -0.257789156  3.000000000
131.250 -0.285164370  1.000000000 -0.653083381  3.000000000          nan  0.000000000
133.750  0.000000000  1.000000000 -0.322441021  5.000000000  0.000000000  1.000000000
136.250          nan  0.000000000  0.534381343  3.000000000  0.115336376  3.000000000
138.750  0.000000000  1.000000000  0.634124466  3.000000000          nan  0.000000000
141.250          nan  0.000000000  0.112041170  7.000000000 -0.989608436  1.000000000
143.750  0.918729161  1.000000000 -0.045604961  7.000000000  0.000000000  1.000000000
146.250          nan  0.000000000  0.411920645  1.000000000  0.874645351  1.000000000
148.750          nan  0.000000000 -0.136719277  4.000000000 -0.276486768  3.000000000
151.250  0.956612289  1.000000000 -0.480715592  3.000000000          nan  0.000000000
153.750  0.000000000  1.000000000  0.234896882  2.000000000 -0.170495462  4.000000000
156.250          nan  0.000000000 -0.174443591  4.000000000  0.030790379  3.000000000
158.750          nan  0.000000000 -0.314427222  2.000000000  0.091592583  4.000000000
161.250          nan  0.000000000  0.130389215  2.000000000 -0.021732516  2.000000000
163.750  0.557047490  1.000000000 -0.208104014  2.000000000  0.519488589  2.000000000
166.250          nan  0.000000000 -0.114992821  4.000000000          nan  0.000000000
168.750 -0.557345242  1.000000000  0.040144563  6.000000000 -0.002028659  1.000000000
171.250          nan  0.000000000  0.199878086  3.000000000  0.224943426  1.000000000
173.750          nan  0.000000000  0.167755351  3.000000000  0.000000000  2.000000000
176.250  0.663786978  1.000000000 -0.106551716  2.000000000 -0.423439386  1.000000000
178.750  0.312910883  1.000000000  0.132754459  5.000000000  0.120564246  4.000000000
181.250          nan  0.000000000  0.236302144  2.000000000  0.000000000  1.000000000
183.750  0.001852876  1.000000000 -0.030528352  6.000000000  0.877229004  1.000000000
186.250          nan  0.000000000  0.159545652  4.000000000  0.116206561  3.000000000
188.750          nan  0.000000000 -0.031160276  3.000000000 -0.441597944  2.000000000
191.250          nan  0.000000000          nan  0.000000000          nan  0.000000000
193.750 -0.000048808  2.000000000          nan  0.000000000 -0.242690755  4.000000000
196.250  0.834558005  1.000000000 -0.015195788  3.000000000  0.000000000  1.000000000
198.750  0.201436520  1.000000000  0.030120810  4.000000000  0.083701635  1.000000000
