#   dely     C(y)    Ny
 0.0500  0.000433405      2844618
 0.1500  0.000087804      2747886
 0.2500 -0.000104811      2591224
 0.3500 -0.000184400      2391587
 0.4500  0.000096832      2166158
 0.5500  0.000127905      1928576
 0.6500 -0.000060743      1688307
 0.7500 -0.000221546      1450184
 0.8500  0.000092162      1217552
 0.9500  0.000246716       983642
 1.0500 -0.000236219       759050
 1.1500  0.000429640       548371
 1.2500 -0.000162607       360758
 1.3500 -0.000301921       209412
 1.4500  0.001034268        99817
 1.5500  0.000282843        33297
 1.6500  0.001313112         4956
 1.7500 -0.001320464           81
 1.8500         -nan            0
 1.9500         -nan            0
