#   delphi     C(delphi)    Nphi
 5.0000  0.000368297      1224362
15.0000  0.000186730      1221219
25.0000  0.000105428      1223705
35.0000 -0.000401518      1224213
45.0000 -0.000222454      1224418
55.0000  0.000438482      1224023
65.0000  0.000054277      1223420
75.0000 -0.000104333      1223889
85.0000 -0.000085238      1226261
95.0000 -0.000004257      1222665
105.0000  0.000208685      1224972
115.0000 -0.000026172      1224150
125.0000 -0.000081193      1226250
135.0000  0.000178093      1223275
145.0000  0.000159198      1223707
155.0000  0.000068478      1223995
165.0000 -0.000368022      1223730
175.0000 -0.000081857      1224916
