#   delphi     C(delphi)    Nphi
 5.0000  0.000149361      1224552
15.0000 -0.001120188      1226516
25.0000  0.000505527      1225668
35.0000  0.000455191      1224697
45.0000  0.000187463      1223963
55.0000  0.000523773      1225760
65.0000  0.000046791      1224136
75.0000  0.000465045      1225254
85.0000  0.000043720      1223584
95.0000  0.000013792      1225576
105.0000  0.000158933      1222484
115.0000 -0.000012402      1223554
125.0000 -0.000245078      1224828
135.0000 -0.000224919      1224179
145.0000 -0.000069208      1224655
155.0000  0.000356529      1223706
165.0000 -0.000012787      1224286
175.0000 -0.000193852      1225837
