#   dely     C(y)    Ny
 0.0500 -0.000199934      2843802
 0.1500  0.000252596      2750008
 0.2500 -0.000165616      2590262
 0.3500 -0.000079703      2387028
 0.4500  0.000255160      2163290
 0.5500  0.000032861      1927882
 0.6500  0.000182953      1690844
 0.7500 -0.000157203      1454623
 0.8500 -0.000184634      1218986
 0.9500  0.000262590       984736
 1.0500 -0.000340917       759799
 1.1500 -0.000429546       549234
 1.2500  0.000348335       362181
 1.3500 -0.000005198       209071
 1.4500 -0.000059680        99891
 1.5500  0.000453484        32962
 1.6500  0.002394701         4989
 1.7500 -0.003388559           74
 1.8500         -nan            0
 1.9500         -nan            0
