#   dely     C(y)    Ny
 0.0500         -nan            0
 0.1500         -nan            0
 0.2500         -nan            0
 0.3500         -nan            0
 0.4500         -nan            0
 0.5500         -nan            0
 0.6500         -nan            0
 0.7500         -nan            0
 0.8500         -nan            0
 0.9500         -nan            0
 1.0500         -nan            0
 1.1500         -nan            0
 1.2500         -nan            0
 1.3500         -nan            0
 1.4500         -nan            0
 1.5500         -nan            0
 1.6500         -nan            0
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
