#   dely     C(y)    Ny
 0.0500  0.000321843     54313516
 0.1500  0.000112166     51659498
 0.2500  0.000022125     48504056
 0.3500  0.000016119     45282372
 0.4500  0.000189002     41955380
 0.5500  0.000085400     38550842
 0.6500 -0.000017280     35113365
 0.7500  0.000071072     31621288
 0.8500 -0.000014854     28130784
 0.9500 -0.000044279     24636530
 1.0500  0.000033150     21144316
 1.1500  0.000018921     17702606
 1.2500  0.000094787     14323761
 1.3500 -0.000011620     11004162
 1.4500 -0.000015391      7774088
 1.5500  0.000064881      4652467
 1.6500  0.000015042      1808322
 1.7500 -0.000264854       187984
 1.8500         -nan            0
 1.9500         -nan            0
