#   delphi     C(delphi)    Nphi
 5.0000  0.000805601     26578182
15.0000  0.000158450     26571318
25.0000  0.000183364     26585015
35.0000  0.000004108     26575685
45.0000  0.000170290     26578356
55.0000 -0.000001628     26581333
65.0000 -0.000037052     26573433
75.0000  0.000046153     26579183
85.0000 -0.000052308     26590248
95.0000  0.000031523     26576874
105.0000  0.000045574     26576240
115.0000  0.000030694     26572476
125.0000 -0.000026568     26584841
135.0000  0.000046131     26569716
145.0000 -0.000038647     26569811
155.0000  0.000028254     26578162
165.0000 -0.000019165     26574613
175.0000  0.000057860     26577851
