#   dely     C(y)    Ny
 0.0500  0.000590329     54316074
 0.1500 -0.000003895     51657369
 0.2500 -0.000173338     48522172
 0.3500 -0.000003283     45283415
 0.4500  0.000040943     41955823
 0.5500 -0.000126383     38556325
 0.6500 -0.000038048     35109862
 0.7500 -0.000039078     31620635
 0.8500 -0.000091290     28135814
 0.9500 -0.000112683     24633912
 1.0500 -0.000074992     21149735
 1.1500 -0.000045405     17703924
 1.2500  0.000189429     14323329
 1.3500 -0.000111819     11004873
 1.4500  0.000173041      7775234
 1.5500 -0.000234886      4651773
 1.6500  0.000154096      1808250
 1.7500  0.000446793       188603
 1.8500         -nan            0
 1.9500         -nan            0
