#   delphi     C(delphi)    Nphi
 5.0000 -0.000748308       122894
15.0000 -0.000467170       123984
25.0000  0.000674054       122862
35.0000  0.000364558       123462
45.0000  0.000490546       123775
55.0000 -0.000233030       123567
65.0000  0.000095715       123460
75.0000 -0.000106668       122734
85.0000 -0.000237323       122901
95.0000  0.000403401       123834
105.0000  0.000167785       122902
115.0000 -0.000090658       123869
125.0000 -0.000225848       123711
135.0000 -0.000397033       123215
145.0000  0.000331669       122849
155.0000 -0.000085957       123787
165.0000 -0.000052021       123625
175.0000 -0.000403947       123747
