#   dely     C(y)    Ny
 0.0500  0.000549161       299802
 0.1500 -0.000321597       289373
 0.2500  0.000482346       271827
 0.3500  0.001279786       248802
 0.4500  0.000067543       222504
 0.5500 -0.000530075       197487
 0.6500  0.000174416       170791
 0.7500 -0.000253829       144860
 0.8500 -0.000005810       118552
 0.9500  0.000238388        93111
 1.0500  0.000444406        68869
 1.1500  0.000355811        46892
 1.2500 -0.000646043        27919
 1.3500  0.000475539        13650
 1.4500 -0.001054281         5223
 1.5500  0.001796926         1225
 1.6500  0.000614475           85
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
