#   dely     C(y)    Ny
 0.0500  0.000436598       300116
 0.1500  0.000032265       289922
 0.2500  0.000000590       269776
 0.3500  0.000171521       248593
 0.4500  0.000338039       222094
 0.5500 -0.000127421       196889
 0.6500  0.000206640       171404
 0.7500 -0.000312135       144846
 0.8500  0.000318136       118740
 0.9500  0.000167830        92905
 1.0500 -0.000313704        68633
 1.1500  0.000497287        46615
 1.2500 -0.000322968        27593
 1.3500 -0.000380567        13826
 1.4500 -0.002116258         5322
 1.5500  0.001692684         1163
 1.6500  0.003311163           93
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
