#   delphi     C(delphi)    Nphi
 5.0000  0.001000305      1225297
15.0000  0.000321455      1224782
25.0000  0.000141449      1225156
35.0000  0.000050487      1222001
45.0000 -0.000022377      1223878
55.0000  0.000035038      1223921
65.0000  0.000024043      1222539
75.0000  0.000130840      1223049
85.0000  0.000054589      1225666
95.0000 -0.000026382      1224413
105.0000 -0.000036216      1221749
115.0000  0.000098095      1221858
125.0000 -0.000030737      1221956
135.0000 -0.000079808      1224285
145.0000 -0.000008809      1223072
155.0000  0.000042285      1224305
165.0000  0.000032510      1223980
175.0000  0.000087487      1224182
