#   dely     C(y)    Ny
 0.0500  0.000422238      2844118
 0.1500  0.000161239      2753688
 0.2500  0.000173815      2589194
 0.3500  0.000119820      2388043
 0.4500  0.000064112      2163780
 0.5500  0.000067716      1927805
 0.6500  0.000060683      1690665
 0.7500 -0.000105735      1452886
 0.8500 -0.000018495      1216951
 0.9500  0.000004183       984021
 1.0500 -0.000009379       758600
 1.1500 -0.000048283       548137
 1.2500 -0.000032976       360270
 1.3500  0.000124975       209664
 1.4500  0.000252358        99293
 1.5500 -0.000288317        33347
 1.6500 -0.000771942         4915
 1.7500 -0.000438966           79
 1.8500         -nan            0
 1.9500         -nan            0
