#   delphi     C(delphi)    Nphi
 5.0000  0.000325294      1222764
15.0000  0.000089476      1225837
25.0000 -0.000025777      1223022
35.0000 -0.000341280      1223101
45.0000 -0.000173092      1225836
55.0000  0.000164087      1223284
65.0000  0.000041977      1224017
75.0000 -0.000026165      1222500
85.0000 -0.000213637      1223927
95.0000  0.000101799      1223084
105.0000 -0.000064603      1224889
115.0000  0.000003625      1224642
125.0000  0.000119587      1224454
135.0000  0.000131898      1222682
145.0000 -0.000084656      1222867
155.0000  0.000164783      1222946
165.0000  0.000003116      1224975
175.0000 -0.000114951      1223565
