#   dely     C(y)    Ny
 0.0500 -0.000148794      2844354
 0.1500 -0.000378574      2749060
 0.2500  0.000057420      2591540
 0.3500 -0.000080251      2391075
 0.4500  0.000034961      2163104
 0.5500 -0.000272397      1928610
 0.6500 -0.000020401      1690332
 0.7500  0.000114575      1453810
 0.8500 -0.000315071      1215240
 0.9500 -0.000272852       984736
 1.0500  0.000248377       758435
 1.1500  0.000099380       548153
 1.2500 -0.000172184       361238
 1.3500  0.000059032       210705
 1.4500 -0.000479208        99955
 1.5500 -0.000077161        33350
 1.6500 -0.000231510         5192
 1.7500 -0.002962082           90
 1.8500         -nan            0
 1.9500         -nan            0
