#   delphi     C(delphi)    Nphi
 5.0000  0.000812466     26574012
15.0000  0.000273037     26580497
25.0000  0.000197850     26574645
35.0000  0.000166498     26575240
45.0000  0.000114704     26584762
55.0000  0.000118138     26572513
65.0000  0.000095289     26578263
75.0000  0.000101676     26578757
85.0000  0.000037126     26573562
95.0000  0.000078071     26565624
105.0000  0.000080378     26571762
115.0000  0.000066858     26575286
125.0000  0.000048647     26572174
135.0000  0.000035725     26574849
145.0000  0.000043464     26582970
155.0000  0.000043075     26573097
165.0000  0.000005878     26569125
175.0000  0.000032108     26578381
