#   dely     C(y)    Ny
 0.0500  0.000565102     54320667
 0.1500 -0.000070757     51666297
 0.2500 -0.000120249     48517956
 0.3500 -0.000128028     45285725
 0.4500 -0.000004309     41955189
 0.5500 -0.000125348     38553859
 0.6500 -0.000073659     35093007
 0.7500 -0.000120828     31624288
 0.8500 -0.000008977     28127947
 0.9500 -0.000126124     24625317
 1.0500 -0.000188953     21148756
 1.1500  0.000084249     17715772
 1.2500  0.000013652     14321762
 1.3500  0.000057764     11013814
 1.4500 -0.000023063      7781191
 1.5500 -0.000066860      4649225
 1.6500 -0.000062302      1806165
 1.7500  0.000143160       188116
 1.8500         -nan            0
 1.9500         -nan            0
