#   delphi     C(delphi)    Nphi
 5.0000  0.001108748     26579723
15.0000 -0.000148998     26577400
25.0000 -0.000175374     26572067
35.0000 -0.000151919     26579298
45.0000 -0.000009562     26581036
55.0000 -0.000153436     26580222
65.0000 -0.000020226     26583007
75.0000 -0.000145086     26575173
85.0000 -0.000240089     26574457
95.0000 -0.000016783     26575041
105.0000  0.000052497     26581883
115.0000 -0.000073774     26583453
125.0000  0.000033594     26584772
135.0000 -0.000068422     26581582
145.0000 -0.000083163     26574825
155.0000 -0.000107705     26580293
165.0000 -0.000018289     26569534
175.0000  0.000039897     26577008
