#   delphi     C(delphi)    Nphi
 5.0000 -0.000161087       123324
15.0000 -0.000174705       123229
25.0000  0.000229495       123459
35.0000 -0.000168557       123325
45.0000 -0.000074846       123466
55.0000  0.000027585       123190
65.0000 -0.000364453       124377
75.0000 -0.000007692       122969
85.0000 -0.000031257       123590
95.0000  0.000312811       123361
105.0000 -0.000272476       124057
115.0000 -0.000454785       123414
125.0000 -0.000302862       123522
135.0000 -0.000309294       123489
145.0000 -0.000140648       123502
155.0000 -0.000046412       122952
165.0000 -0.000043707       122867
175.0000  0.000145637       123526
