#   dely     C(y)    Ny
 0.0500  0.000233621       300883
 0.1500 -0.000417607       289447
 0.2500  0.000094437       270663
 0.3500 -0.000175635       248543
 0.4500  0.000007964       222754
 0.5500 -0.000323737       196349
 0.6500 -0.000432955       171468
 0.7500 -0.000088726       145282
 0.8500  0.000348303       118984
 0.9500 -0.000317422        93118
 1.0500 -0.000068566        68992
 1.1500 -0.000085282        46503
 1.2500 -0.000417942        28014
 1.3500 -0.000034796        14133
 1.4500  0.000154538         5247
 1.5500 -0.000938947         1163
 1.6500 -0.004540154           76
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
