#   delphi     C(delphi)    Nphi
 5.0000  0.000757462       123459
15.0000  0.000325567       123555
25.0000 -0.000086288       122988
35.0000 -0.000106677       123343
45.0000  0.000097614       123270
55.0000  0.000335795       123405
65.0000 -0.000059071       123582
75.0000 -0.000120838       123990
85.0000  0.000197531       122768
95.0000  0.000006410       123476
105.0000  0.000154598       123326
115.0000  0.000632439       123591
125.0000 -0.000320795       122966
135.0000  0.000066186       122667
145.0000  0.000015899       123439
155.0000  0.000187265       123521
165.0000  0.000092309       123286
175.0000  0.000070487       123736
