#   dely     C(y)    Ny
 0.0500  0.000493751       299241
 0.1500  0.000101435       289562
 0.2500 -0.000099029       271399
 0.3500  0.000143859       248691
 0.4500 -0.000040999       222486
 0.5500 -0.000282393       197450
 0.6500 -0.000398212       170821
 0.7500  0.000046487       143869
 0.8500 -0.000414793       118555
 0.9500 -0.000558992        92797
 1.0500  0.000030231        68479
 1.1500  0.000111821        46192
 1.2500  0.000424104        27800
 1.3500  0.001251876        13788
 1.4500  0.000412005         5214
 1.5500  0.002518752         1236
 1.6500  0.000705495           84
 1.7500         -nan            0
 1.8500         -nan            0
 1.9500         -nan            0
